nro;cod_ied_N;nomb_ied;d_dreugel;cod_mod;nivel;;;;
;;;;0927848;EBR SECUNDARIA;;;;
189;02688883;50017;UGEL CUSCO;0405027;EBR PRIMARIA;;;;
190;02818248;51015 SAN FRANCISCO DE BORJA;UGEL CUSCO;0206136;EBR PRIMARIA;;;;
;;;;0579151;EBR SECUNDARIA;;;;
;;;;0235473;EBA INICIAL-INTERMEDIO;;;;
;;;;0782649;EBA AVANZADO;;;;
191;05208580;INGENIERIA;UGEL CUSCO;1420827;EBR SECUNDARIA;;;;
192;05701929;CARRION - SAN JERONIMO;UGEL CUSCO;1386051;EBR PRIMARIA;;;;
;;;;1386069;EBR SECUNDARIA;;;;
193;02638223;463;UGEL CUSCO;0565382;EBR INICIAL;;;;
;;;;0472654;EBR PRIMARIA;;;;
194;05162114;HUELLITAS-B;UGEL CUSCO;1405174;EBR INICIAL;;;;
195;02689049;50022 JORGE CHAVEZ CHAPARRO;UGEL CUSCO;0405076;EBR PRIMARIA;;;;
;;;;1061449;EBR SECUNDARIA;;;;
196;02817098;51003;UGEL CUSCO;1386200;EBR INICIAL;;;;
;;;;0205922;EBR PRIMARIA;;;;
;;;;1370345;EBR SECUNDARIA;;;;
;;;;0235432;EBA INICIAL-INTERMEDIO;;;;
197;02710498;501222;UGEL CUSCO;0732834;EBR PRIMARIA;;;;
;;;;1718618;EBR SECUNDARIA;;;;
198;02710498;501222;UGEL CUSCO;1615368;EBR INICIAL;;;;
199;02607451;437;UGEL CUSCO;1061555;EBR INICIAL;;;;
200;02629801;457 VIVA EL PERU;UGEL CUSCO;0403972;EBR INICIAL;;;;
;;;;0405316;EBR PRIMARIA;;;;
;;;;0591164;EBR SECUNDARIA;;;;
201;02807191;50905;UGEL CUSCO;1644046;EBR INICIAL;;;;
;;;;0489245;EBR PRIMARIA;;;;
202;04578120;CARITAS;UGEL CUSCO;0671792;CETPRO;;;;
203;05043409;FORTUNATO L HERRERA;UGEL CUSCO;1386218;EBR PRIMARIA;;;;
;;;;0236364;EBR SECUNDARIA;;;;
204;02737140;50221;UGEL CUSCO;0407080;EBR PRIMARIA;;;;
205;00487856;1125-50021;UGEL CUSCO;0405068;EBR PRIMARIA;;;;
206;00487856;1125-50021;UGEL CUSCO;1615129;EBR INICIAL;;;;
207;06138519;REVOLUCIONARIA SANTA ROSA;UGEL CUSCO;0551606;EBR INICIAL;;;;
;;;;0486621;EBR PRIMARIA;;;;
;;;;0782680;EBR SECUNDARIA;;;;
208;05193141;INCA EDUCA;UGEL CUSCO;1529577;CETPRO;;;;
209;02737221;50222;UGEL CUSCO;1644061;EBR INICIAL;;;;
;;;;0407098;EBR PRIMARIA;;;;
210;04636120;CEDAI;UGEL CUSCO;0928838;CETPRO;;;;
211;02688621;50015;UGEL CUSCO;0405001;EBR PRIMARIA;;;;
212;05990017;PACHATUSAN - CUSCO;UGEL CUSCO;1662113;EBR INICIAL;;;;
213;06396909;SANTA CECILIA;UGEL CUSCO;1200989;EBR INICIAL;;;;
214;02798778;50814;UGEL CUSCO;1712686;EBR INICIAL;;;;
;;;;0206334;EBR PRIMARIA;;;;
215;05039959;FLEMING;UGEL CUSCO;1386697;EBR INICIAL;;;;
216;05039959;FLEMING;UGEL CUSCO;1061233;EBR PRIMARIA;;;;
;;;;0928507;EBR SECUNDARIA;;;;
217;06806295;DULCE INICIAR;UGEL CUSCO;1727510;EBR INICIAL;;;;
218;06355404;SAN NICOLAS;UGEL CUSCO;0627802;EBR INICIAL;;;;
;;;;1620996;EBR PRIMARIA;;;;
219;05824524;MIS PEQUEÑOS ANGELES;UGEL CUSCO;1568039;EBR INICIAL;;;;
220;04789334;CRAYOLA;UGEL CUSCO;1387117;EBR INICIAL;;;;
221;01563319;27 DE NOVIEMBRE;UGEL CUSCO;0518191;EBR SECUNDARIA;;;;
222;06923501;I.E.I. N° 1360 VIRGEN DEL CARMEN;UGEL CUSCO;1744374;EBR INICIAL;;;;
223;06119621;RAYITO DE LUZ;UGEL CUSCO;1315233;EBR INICIAL;;;;
224;06985483;TRENER;UGEL CUSCO;1753623;EBR SECUNDARIA;;;;
225;06872441;MICAELA BASTIDAS;UGEL CUSCO;1734631;EBR PRIMARIA;;;;
226;01342886;215;UGEL CUSCO;0731216;EBR INICIAL;;;;
227;02818086;51014 ROMERITOS;UGEL CUSCO;0206128;EBR PRIMARIA;;;;
;;;;0735035;EBR SECUNDARIA;;;;
228;02756692;50414;UGEL CUSCO;0408914;EBR PRIMARIA;;;;
229;02756692;50414;UGEL CUSCO;1361773;EBR SECUNDARIA;;;;
230;05943744;NUESTRA SEÑORA DEL ROSARIO;UGEL CUSCO;1201029;EBR INICIAL;;;;
;;;;1201060;EBR PRIMARIA;;;;
231;06430643;SANTA MARIA REYNA;UGEL CUSCO;0928887;EBR PRIMARIA;;;;
;;;;0927939;EBR SECUNDARIA;;;;
232;05935415;NUESTRA SEÑORA DEL CARMEN;UGEL CUSCO;0928077;EBR INICIAL;;;;
233;03840328;811 CUSIBAMBA BAJA;UGEL CUSCO;1450469;EBR INICIAL;;;;
234;04518233;BE HAPPY;UGEL CUSCO;1692201;EBR INICIAL;;;;
235;06730957;VIRGEN DEL TRANSITO;UGEL CUSCO;0929489;CETPRO;;;;
236;06801404;SAN RAFAEL;UGEL CUSCO;1721711;EBR INICIAL;;;;
237;06684343;VIDA NUEVA ASVIN;UGEL CUSCO;1361757;EBR INICIAL;;;;
;;;;1361765;EBR PRIMARIA;;;;
238;05588588;LOS CAPULLITOS DE MARIA;UGEL CUSCO;1386093;EBR INICIAL;;;;
239;04475240;APRENDIENDO ENTRE JUEGOS Y SONRISAS;UGEL CUSCO;1386788;EBR INICIAL;;;;
240;06053866;PICOL ORCCONQUIO;UGEL CUSCO;1349802;EBR INICIAL;;;;
241;06873847;50225;UGEL CUSCO;0407130;EBR PRIMARIA;;;;
242;05287529;JEAN PIAGET;UGEL CUSCO;1387042;EBR INICIAL;;;;
243;06029876;PEDRO RUIZ GALLO-PERUANO AMERICANO;UGEL CUSCO;1385988;EBA INICIAL-INTERMEDIO;;;;
;;;;1385996;EBA AVANZADO;;;;
244;80000155;PEDRO RUIZ GALLO-PERUANO AMERICANO;UGEL CUSCO;0573527;CETPRO;;;;
245;04383907;ALFA INGENIEROS;UGEL CUSCO;1386358;EBR INICIAL;;;;
;;;;0818245;EBR PRIMARIA;;;;
;;;;1386366;EBR SECUNDARIA;;;;
246;06841597;PICAFLORCITOS DE ORO;UGEL CUSCO;1730233;EBR INICIAL;;;;
247;00814636;159;UGEL CUSCO;0671784;EBR INICIAL;;;;
248;05912148;NUESTRA SEÑORA DE GRACIA;UGEL CUSCO;0775494;EBR INICIAL;;;;
;;;;1386283;EBR PRIMARIA;;;;
249;02689790;50036;UGEL CUSCO;0405209;EBR PRIMARIA;;;;
250;05045304;FRANCISCO BERNARDONE;UGEL CUSCO;1583210;EBR INICIAL;;;;
251;05163935;HUGO D'CENSI;UGEL CUSCO;1655356;EBR INICIAL;;;;
252;05466636;KUKULI;UGEL CUSCO;0928168;EBR INICIAL;;;;
253;05449812;KARI GRANDE;UGEL CUSCO;0931170;EBR INICIAL;;;;
;;;;1321256;EBR PRIMARIA;;;;
254;06183891;SAGRADO CORAZON DE JESUS;UGEL CUSCO;1060599;CETPRO;;;;
255;06097278;PUKLLASUNCHIS-B;UGEL CUSCO;0928655;ISP;;;;
256;02627337;455 SAN ISIDRO;UGEL CUSCO;0671800;EBR INICIAL;;;;
257;04862333;DIDASKALIO SAN JOSE OBRERO;UGEL CUSCO;0671537;EBR INICIAL;;;;
